PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lat,lon,AQI,Major pollutants,id
0.170000,0.200000,0.020000,0.140000,0.110000,72.980003,8.810000,3.010000,260.179993,45.209999,54407.898438,32.6,93.59,2.750000,CO,14512
0.170000,0.210000,0.020000,0.140000,0.110000,72.250000,8.230000,3.160000,260.859985,43.770000,54942.539062,32.61,93.75,2.750000,CO,14513
0.180000,0.220000,0.020000,0.140000,0.110000,71.830002,7.840000,4.000000,260.690002,46.700001,54929.210938,32.63,93.91,2.750000,CO,14514
0.180000,0.220000,0.020000,0.150000,0.110000,74.480003,7.690000,4.570000,261.130005,48.259998,55396.941406,32.64,94.07,2.750000,CO,14515
0.190000,0.230000,0.020000,0.150000,0.110000,75.349998,7.500000,4.640000,261.059998,50.930000,55557.148438,32.66,94.23,2.750000,CO,14516
0.210000,0.250000,0.020000,0.160000,0.110000,75.699997,7.620000,4.530000,260.700012,53.270000,55435.531250,32.67,94.39,2.750000,CO,14517
0.220000,0.260000,0.020000,0.170000,0.110000,75.400002,7.050000,4.280000,260.739990,54.099998,55738.531250,32.68,94.55,2.750000,CO,14518
0.240000,0.280000,0.020000,0.180000,0.110000,75.389999,6.460000,4.630000,259.429993,61.209999,55267.921875,32.7,94.72,2.750000,CO,14519
0.240000,0.270000,0.020000,0.170000,0.110000,76.180000,7.800000,4.540000,259.410004,60.169998,55295.828125,32.71,94.88,2.750000,CO,14520
0.240000,0.280000,0.020000,0.170000,0.110000,76.550003,8.940000,4.230000,262.260010,49.459999,57538.179688,32.72,95.04,2.750000,CO,14521
0.250000,0.280000,0.020000,0.170000,0.110000,76.669998,8.180000,3.680000,263.200012,47.759998,58503.398438,32.74,95.2,2.750000,CO,14522
0.260000,0.290000,0.020000,0.170000,0.110000,76.760002,7.880000,3.610000,261.790009,52.230000,57304.609375,32.75,95.36,2.750000,CO,14523
0.270000,0.310000,0.030000,0.180000,0.110000,77.010002,8.240000,3.100000,261.649994,52.250000,57005.199219,32.76,95.52,2.750000,CO,14524
0.280000,0.320000,0.030000,0.180000,0.110000,77.449997,8.260000,2.500000,261.739990,51.930000,57008.160156,32.77,95.68,2.750000,CO,14525
0.280000,0.330000,0.030000,0.190000,0.110000,77.889999,8.660000,2.610000,261.989990,50.840000,57119.089844,32.78,95.84,2.750000,CO,14526
0.300000,0.350000,0.040000,0.200000,0.110000,75.639999,8.680000,2.500000,263.450012,46.400002,58187.558594,32.8,96.0,2.750000,CO,14527
0.330000,0.390000,0.050000,0.220000,0.120000,74.500000,8.290000,2.300000,264.010010,45.160000,58598.960938,32.81,96.17,3.000000,CO,14528
0.350000,0.410000,0.060000,0.250000,0.120000,73.449997,8.000000,2.400000,264.239990,43.860001,58701.250000,32.82,96.33,3.000000,CO,14529
0.380000,0.440000,0.060000,0.300000,0.120000,72.550003,7.310000,2.950000,264.470001,44.369999,59006.750000,32.83,96.49,3.000000,CO,14530
0.390000,0.460000,0.070000,0.330000,0.120000,72.120003,7.680000,3.730000,263.739990,46.849998,58414.800781,32.84,96.65,3.000000,CO,14531
0.380000,0.450000,0.060000,0.290000,0.120000,72.790001,8.960000,4.230000,264.649994,42.980000,59000.718750,32.85,96.81,3.000000,CO,14532
0.410000,0.480000,0.080000,0.310000,0.120000,73.239998,9.370000,4.240000,266.350006,37.439999,60225.210938,32.86,96.97,3.000000,CO,14533
0.500000,0.600000,0.150000,0.410000,0.120000,74.839996,9.170000,3.890000,266.600006,36.790001,60371.570312,32.87,97.13,3.000000,CO,14534
0.490000,0.580000,0.120000,0.370000,0.120000,75.269997,8.330000,2.630000,266.070007,39.200001,60133.460938,32.88,97.3,3.000000,CO,14535
0.460000,0.520000,0.080000,0.470000,0.120000,75.989998,7.620000,2.400000,260.769989,59.119999,57710.171875,32.98,99.24,3.000000,CO,14547
0.460000,0.510000,0.080000,0.430000,0.120000,76.070000,8.260000,1.980000,261.929993,53.340000,58538.109375,32.99,99.4,3.000000,CO,14548
0.470000,0.520000,0.080000,0.460000,0.120000,75.820000,7.350000,1.930000,261.709991,53.250000,58571.640625,33.0,99.56,3.000000,CO,14549
0.490000,0.540000,0.080000,0.470000,0.120000,75.639999,6.900000,2.610000,261.630005,53.330002,58618.890625,33.01,99.72,3.000000,CO,14550
0.540000,0.600000,0.090000,0.470000,0.120000,75.120003,7.190000,3.510000,263.100006,53.169998,60270.800781,33.02,100.05,3.000000,CO,14552
0.550000,0.610000,0.090000,0.500000,0.120000,74.820000,7.660000,2.750000,262.750000,56.799999,60125.851562,33.03,100.21,3.000000,CO,14553
0.530000,0.600000,0.090000,0.520000,0.120000,74.980003,9.200000,3.100000,262.739990,55.910000,59821.578125,33.03,100.37,3.000000,CO,14554
